play_id,sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
401831377113966720,113966720,Jumpball,Start game,0,0,1st Half,20:00,False,,2025-11-08T21:02:45Z
401831377113966721,113966721,Jumpball,Jump Ball won by South Alabama,0,0,1st Half,19:59,False,6,2025-11-08T21:02:46Z
401831377113966722,113966722,Jumpball,Jump Ball lost by Spring Hill,0,0,1st Half,19:59,False,2590,2025-11-08T21:02:46Z
401831377113966756,113966756,JumpShot,Chaze Harris missed Three Point Jumper.,0,0,1st Half,19:53,False,6,2025-11-08T21:02:53Z
401831377113966757,113966757,Offensive Rebound,Adam Olsen Offensive Rebound.,0,0,1st Half,19:49,False,6,2025-11-08T21:02:56Z
401831377113966770,113966770,LayUpShot,Adam Olsen missed Layup.,0,0,1st Half,19:44,False,6,2025-11-08T21:03:01Z
401831377113966771,113966771,Defensive Rebound,Rocco Lamuno Defensive Rebound.,0,0,1st Half,19:41,False,2590,2025-11-08T21:03:04Z
401831377113966808,113966808,JumpShot,Alvin Cole missed Three Point Jumper.,0,0,1st Half,19:20,False,2590,2025-11-08T21:03:26Z
401831377113966823,113966823,Defensive Rebound,South Alabama Defensive Rebound.,0,0,1st Half,19:19,False,6,2025-11-08T21:03:30Z
401831377113966889,113966889,JumpShot,Adam Olsen made Jumper.,0,2,1st Half,19:05,True,6,2025-11-08T21:03:53Z
401831377113966897,113966897,Lost Ball Turnover,Amaan Sanni Turnover.,0,2,1st Half,18:56,False,2590,2025-11-08T21:04:04Z
401831377113966944,113966944,JumpShot,Jayden Cooper missed Three Point Jumper.,0,2,1st Half,18:38,False,6,2025-11-08T21:04:32Z
401831377113966945,113966945,Offensive Rebound,Randy Brady Offensive Rebound.,0,2,1st Half,18:35,False,6,2025-11-08T21:04:37Z
401831377113966998,113966998,PersonalFoul,Foul on Ruben Bos.,0,2,1st Half,18:35,False,2590,2025-11-08T21:04:39Z
401831377113967104,113967104,LayUpShot,Peyton Law missed Layup.,0,2,1st Half,18:31,False,6,2025-11-08T21:05:04Z
401831377113967105,113967105,Offensive Rebound,Peyton Law Offensive Rebound.,0,2,1st Half,18:27,False,6,2025-11-08T21:05:08Z
401831377113967136,113967136,TipShot,Peyton Law made Two Point Tip Shot.,0,4,1st Half,18:27,True,6,2025-11-08T21:05:08Z
401831377113967137,113967137,JumpShot,Rocco Lamuno made Three Point Jumper. Assisted by Amaan Sanni.,3,4,1st Half,18:19,True,2590,2025-11-08T21:05:16Z
401831377113967206,113967206,JumpShot,Randy Brady made Three Point Jumper. Assisted by Peyton Law.,3,7,1st Half,18:00,True,6,2025-11-08T21:05:36Z
401831377113967278,113967278,JumpShot,Amaan Sanni missed Three Point Jumper.,3,7,1st Half,17:36,False,2590,2025-11-08T21:06:00Z
401831377113967279,113967279,Offensive Rebound,Alvin Cole Offensive Rebound.,3,7,1st Half,17:33,False,2590,2025-11-08T21:06:02Z
401831377113967280,113967280,JumpShot,Rocco Lamuno made Three Point Jumper. Assisted by Alvin Cole.,6,7,1st Half,17:31,True,2590,2025-11-08T21:06:05Z
401831377113967376,113967376,LayUpShot,Chaze Harris made Layup.,6,9,1st Half,17:15,True,6,2025-11-08T21:06:20Z
401831377113967384,113967384,Lost Ball Turnover,Amaan Sanni Turnover.,6,9,1st Half,17:05,False,2590,2025-11-08T21:06:31Z
401831377113967385,113967385,Steal,Chaze Harris Steal.,6,9,1st Half,17:05,False,6,2025-11-08T21:06:31Z
401831377113967406,113967406,LayUpShot,Jayden Cooper made Layup.,6,11,1st Half,17:01,True,6,2025-11-08T21:06:35Z
401831377113967424,113967424,PersonalFoul,Foul on Chaze Harris.,6,11,1st Half,16:56,False,6,2025-11-08T21:06:40Z
401831377113967539,113967539,JumpShot,Stephon MacDonald missed Three Point Jumper.,6,11,1st Half,16:36,False,2590,2025-11-08T21:07:21Z
401831377113967540,113967540,Defensive Rebound,Chaze Harris Defensive Rebound.,6,11,1st Half,16:31,False,6,2025-11-08T21:07:24Z
401831377113967570,113967570,LayUpShot,Randy Brady missed Layup.,6,11,1st Half,16:20,False,6,2025-11-08T21:07:35Z
401831377113967572,113967572,Offensive Rebound,Peyton Law Offensive Rebound.,6,11,1st Half,16:18,False,6,2025-11-08T21:07:37Z
401831377113967627,113967627,LayUpShot,Peyton Law missed Layup.,6,11,1st Half,16:17,False,6,2025-11-08T21:07:39Z
401831377113967628,113967628,Offensive Rebound,Peyton Law Offensive Rebound.,6,11,1st Half,16:14,False,6,2025-11-08T21:07:41Z
401831377113967629,113967629,LayUpShot,Peyton Law made Layup.,6,13,1st Half,16:14,True,6,2025-11-08T21:07:42Z
401831377113967641,113967641,DunkShot,Alvin Cole missed Dunk.,6,13,1st Half,15:58,False,2590,2025-11-08T21:07:57Z
401831377113967687,113967687,Defensive Rebound,South Alabama Defensive Rebound.,6,13,1st Half,15:57,False,6,2025-11-08T21:08:01Z
401831377113967689,113967689,OfficialTVTimeOut,Official TV Timeout,6,13,1st Half,15:57,False,,2025-11-08T21:08:04Z
401831377113968159,113968159,LayUpShot,Chaze Harris made Layup.,6,15,1st Half,15:34,True,6,2025-11-08T21:10:28Z
401831377113968206,113968206,JumpShot,Amaan Sanni missed Three Point Jumper.,6,15,1st Half,15:23,False,2590,2025-11-08T21:10:40Z
401831377113968207,113968207,Defensive Rebound,South Alabama Defensive Rebound.,6,15,1st Half,15:19,False,6,2025-11-08T21:10:45Z
401831377113968250,113968250,Lost Ball Turnover,Chaze Harris Turnover.,6,15,1st Half,15:07,False,6,2025-11-08T21:11:07Z
401831377113968329,113968329,JumpShot,Rocco Lamuno made Three Point Jumper.,9,15,1st Half,14:53,True,2590,2025-11-08T21:11:31Z
401831377113968356,113968356,JumpShot,Adam Olsen made Three Point Jumper. Assisted by Randy Brady.,9,18,1st Half,14:40,True,6,2025-11-08T21:11:44Z
401831377113968446,113968446,Lost Ball Turnover,Rocco Lamuno Turnover.,9,18,1st Half,14:10,False,2590,2025-11-08T21:12:13Z
401831377113968448,113968448,Steal,Jayden Cooper Steal.,9,18,1st Half,14:10,False,6,2025-11-08T21:12:13Z
401831377113968450,113968450,DunkShot,Jayden Cooper made Dunk.,9,20,1st Half,14:06,True,6,2025-11-08T21:12:17Z
401831377113968495,113968495,JumpShot,Amaan Sanni missed Three Point Jumper.,9,20,1st Half,13:46,False,2590,2025-11-08T21:12:37Z
401831377113968527,113968527,Defensive Rebound,Randy Brady Defensive Rebound.,9,20,1st Half,13:42,False,6,2025-11-08T21:12:40Z
401831377113968528,113968528,JumpShot,Adam Olsen missed Three Point Jumper.,9,20,1st Half,13:37,False,6,2025-11-08T21:12:48Z
401831377113968553,113968553,Defensive Rebound,Alvin Cole Defensive Rebound.,9,20,1st Half,13:32,False,2590,2025-11-08T21:12:50Z
401831377113968555,113968555,JumpShot,Rocco Lamuno missed Three Point Jumper.,9,20,1st Half,13:27,False,2590,2025-11-08T21:12:56Z
401831377113968576,113968576,Defensive Rebound,Peyton Law Defensive Rebound.,9,20,1st Half,13:24,False,6,2025-11-08T21:12:58Z
401831377113968578,113968578,LayUpShot,Chaze Harris missed Layup.,9,20,1st Half,13:19,False,6,2025-11-08T21:13:04Z
401831377113968579,113968579,Block Shot,Stephon MacDonald Block.,9,20,1st Half,13:19,False,2590,2025-11-08T21:13:04Z
401831377113968612,113968612,Offensive Rebound,South Alabama Offensive Rebound.,9,20,1st Half,13:19,False,6,2025-11-08T21:13:09Z
401831377113968661,113968661,Substitution,Chaze Harris subbing out for South Alabama,9,20,1st Half,13:19,False,6,2025-11-08T21:13:36Z
401831377113968662,113968662,Substitution,Peyton Law subbing out for South Alabama,9,20,1st Half,13:19,False,6,2025-11-08T21:13:36Z
