game_id,team_id,home_away,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPercentage,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,totalRebounds,offensiveRebounds,assists,steals,blocks,turnovers,fouls,points
6502508,2007,home,28,67,4179.0%,4,20,20,26,47,18,16,8,6,9,17,
6502508,1705,away,23,59,3898.0%,7,26,16,22,33,10,8,5,5,11,18,
