game_id,team_id,home_away,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPercentage,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,totalRebounds,offensiveRebounds,assists,steals,blocks,turnovers,fouls,points
6504095,113,home,28,62,4516.0%,6,17,17,22,38,9,13,5,4,9,14,
6504095,1997,away,28,68,4118.0%,10,29,9,10,37,9,17,5,0,8,18,
