game_id,team_id,home_away,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPercentage,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,totalRebounds,offensiveRebounds,assists,steals,blocks,turnovers,fouls,points
6502821,2212,home,28,60,4667.0%,11,26,17,21,45,13,22,10,9,14,11,
6502821,2611,away,20,62,3226.0%,4,16,5,7,32,11,11,13,2,17,17,
