game_id,team_id,home_away,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPercentage,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,totalRebounds,offensiveRebounds,assists,steals,blocks,turnovers,fouls,points
6504842,2433,home,23,62,3710.0%,5,24,21,35,39,8,14,10,7,7,15,
6504842,960,away,23,57,4035.0%,9,23,9,15,38,6,16,4,5,16,26,
