game_id,team_id,home_away,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPercentage,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,totalRebounds,offensiveRebounds,assists,steals,blocks,turnovers,fouls,points
6501643,1455,home,30,53,5660.0%,10,23,19,29,34,7,22,9,7,6,16,
6501643,2111,away,21,56,3750.0%,5,21,15,20,32,11,10,4,2,13,22,
