game_id,team_id,home_away,fieldGoalsMade,fieldGoalsAttempted,fieldGoalPercentage,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,totalRebounds,offensiveRebounds,assists,steals,blocks,turnovers,fouls,points
6502914,757,home,26,69,3768.0%,11,37,21,24,49,19,12,3,5,7,12,
6502914,2427,away,26,62,4194.0%,5,19,8,9,29,6,9,4,1,5,18,
