game_id,team_id,player_id,displayName,starter,didNotPlay,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TO,FG,FG%,3PT,3PT%,FT,FT%,PF
401700257,166,4897167,Peter Filipovity,True,False,35,19,3,9,12,0,1,0,2,7-13,53.8,1-1,100.0,4-6,66.7,3
401700257,166,4709322,Nate Tshimanga,True,False,24,3,0,3,3,0,0,1,0,1-5,20.0,0-0,0.0,1-2,50.0,3
401700257,166,4592961,Emmanuel Tshimanga,True,False,16,2,1,2,3,1,1,1,0,0-0,0.0,0-0,0.0,2-4,50.0,4
401700257,166,5242602,Zawdie Jackson,True,False,32,17,0,2,2,0,0,0,0,5-9,55.6,3-4,75.0,4-8,50.0,3
401700257,166,4741646,Christian Cook,True,False,28,7,1,4,5,1,1,0,0,2-8,25.0,0-3,0.0,3-4,75.0,1
401700257,166,5242603,JaeCoby Osborne,False,False,18,7,3,0,3,0,0,0,0,3-4,75.0,1-1,100.0,0-0,0.0,0
401700257,166,4592486,Robert Carpenter,False,False,9,0,1,1,2,0,0,0,0,0-4,0.0,0-3,0.0,0-0,0.0,4
401700257,166,5242601,Gabe Pickens,False,False,6,0,0,0,0,3,0,0,0,0-1,0.0,0-1,0.0,0-0,0.0,2
401700257,166,5176770,Jaden Harris,False,False,11,5,0,1,1,1,0,0,0,2-4,50.0,1-2,50.0,0-0,0.0,1
401700257,166,4703262,Dionte Bostick,False,False,21,7,1,2,3,2,1,0,0,2-5,40.0,0-0,0.0,3-7,42.9,1
401700257,166,5242604,Marvin Cox,False,True,,,,,,,,,,,,,,,,
401700257,166,5107220,Ed Nnamoko,False,True,,,,,,,,,,,,,,,,
401700257,166,4702788,Christopher Biekeu,False,True,,,,,,,,,,,,,,,,
401700257,166,4897690,Azavier Johnson,False,True,,,,,,,,,,,,,,,,
401700257,166,4711271,Carl Cherenfant,False,True,,,,,,,,,,,,,,,,
401700257,2348,4683631,Daniel Batcho,True,False,35,12,3,7,10,1,0,1,0,3-3,100.0,0-0,0.0,6-7,85.7,3
401700257,2348,5242133,Al Green,True,False,24,13,2,2,4,2,0,0,2,4-13,30.8,3-10,30.0,2-2,100.0,3
401700257,2348,5105544,Amaree Abram,True,False,39,9,0,3,3,2,0,0,1,3-13,23.1,1-10,10.0,2-2,100.0,4
401700257,2348,5070505,Kaden Cooper,True,False,24,8,2,8,10,0,1,1,0,3-6,50.0,1-3,33.3,1-2,50.0,2
401700257,2348,5060724,AJ Bates,True,False,21,8,1,0,1,0,0,0,1,2-6,33.3,0-3,0.0,4-7,57.1,5
401700257,2348,5242135,Sean Elkinton,False,False,4,2,0,0,0,0,0,0,0,0-0,0.0,0-0,0.0,2-2,100.0,1
401700257,2348,4897501,Will Allen,False,False,3,0,0,0,0,0,0,1,0,0-0,0.0,0-0,0.0,0-0,0.0,0
401700257,2348,5242134,Landren Blocker,False,False,10,0,0,1,1,0,0,0,1,0-1,0.0,0-0,0.0,0-0,0.0,2
401700257,2348,5175973,Sean Newman Jr.,False,False,28,3,1,1,2,5,0,0,1,1-4,25.0,1-1,100.0,0-1,0.0,0
401700257,2348,5106878,Jordan Crawford,False,False,12,0,0,2,2,1,0,0,0,0-2,0.0,0-1,0.0,0-0,0.0,2
401700257,2348,4701841,Will Jeffress,False,True,,,,,,,,,,,,,,,,
401700257,2348,5105431,Devin Ree,False,True,,,,,,,,,,,,,,,,
401700257,2348,5263909,Lachlan Thompson,False,True,,,,,,,,,,,,,,,,
401700257,2348,4897500,Ben Ponder,False,True,,,,,,,,,,,,,,,,
