team_id,uid,location,name,abbreviation,displayName,shortDisplayName,logo
2305,s:40~l:41~t:2305,Kansas,Kansas Jayhawks,KU,Kansas Jayhawks,Jayhawks,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
47,s:40~l:41~t:47,Howard,Howard Bison,HOW,Howard Bison,Bison,https://a.espncdn.com/i/teamlogos/ncaa/500/47.png
333,s:40~l:41~t:333,Alabama,Alabama Crimson Tide,ALA,Alabama Crimson Tide,Crimson Tide,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png
2427,s:40~l:41~t:2427,UNC Asheville,UNC Asheville Bulldogs,UNCA,UNC Asheville Bulldogs,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2427.png
248,s:40~l:41~t:248,Houston,Houston Cougars,HOU,Houston Cougars,Cougars,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png
2296,s:40~l:41~t:2296,Jackson State,Jackson State Tigers,JKST,Jackson State Tigers,Tigers,https://a.espncdn.com/i/teamlogos/ncaa/500/2296.png
66,s:40~l:41~t:66,Iowa State,Iowa State Cyclones,ISU,Iowa State Cyclones,Cyclones,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png
2400,s:40~l:41~t:2400,Mississippi Valley State,Mississippi Valley State Delta Devils,MVSU,Mississippi Valley State Delta Devils,Delta Devils,https://a.espncdn.com/i/teamlogos/ncaa/500/2400.png
2250,s:40~l:41~t:2250,Gonzaga,Gonzaga Bulldogs,GONZ,Gonzaga Bulldogs,Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png
239,s:40~l:41~t:239,Baylor,Baylor Bears,BAY,Baylor Bears,Bears,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png
150,s:40~l:41~t:150,Duke,Duke Blue Devils,DUKE,Duke Blue Devils,Blue Devils,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png
311,s:40~l:41~t:311,Maine,Maine Black Bears,ME,Maine Black Bears,Black Bears,https://a.espncdn.com/i/teamlogos/ncaa/500/311.png
153,s:40~l:41~t:153,North Carolina,North Carolina Tar Heels,UNC,North Carolina Tar Heels,Tar Heels,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png
2210,s:40~l:41~t:2210,Elon,Elon Phoenix,ELON,Elon Phoenix,Phoenix,https://a.espncdn.com/i/teamlogos/ncaa/500/2210.png
12,s:40~l:41~t:12,Arizona,Arizona Wildcats,ARIZ,Arizona Wildcats,Wildcats,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png
2099,s:40~l:41~t:2099,Canisius,Canisius Golden Griffins,CAN,Canisius Golden Griffins,Golden Griffins,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png
2633,s:40~l:41~t:2633,Tennessee,Tennessee Volunteers,TENN,Tennessee Volunteers,Volunteers,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
2241,s:40~l:41~t:2241,Gardner-Webb,Gardner-Webb Runnin' Bulldogs,GWEB,Gardner-Webb Runnin' Bulldogs,Runnin' Bulldogs,https://a.espncdn.com/i/teamlogos/ncaa/500/2241.png
2116,s:40~l:41~t:2116,UCF,UCF Knights,UCF,UCF Knights,Knights,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
245,s:40~l:41~t:245,Texas A&M,Texas A&M Aggies,TA&M,Texas A&M Aggies,Aggies,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png
2509,s:40~l:41~t:2509,Purdue,Purdue Boilermakers,PUR,Purdue Boilermakers,Boilermakers,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
357,s:40~l:41~t:357,Texas A&M-Corpus Christi,Texas A&M-Corpus Christi Islanders,AMCC,Texas A&M-Corpus Christi Islanders,Islanders,https://a.espncdn.com/i/teamlogos/ncaa/500/357.png
269,s:40~l:41~t:269,Marquette,Marquette Golden Eagles,MARQ,Marquette Golden Eagles,Golden Eagles,https://a.espncdn.com/i/teamlogos/ncaa/500/269.png
2619,s:40~l:41~t:2619,Stony Brook,Stony Brook Seawolves,STBK,Stony Brook Seawolves,Seawolves,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png
251,s:40~l:41~t:251,Texas,Texas Longhorns,TEX,Texas Longhorns,Longhorns,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png
194,s:40~l:41~t:194,Ohio State,Ohio State Buckeyes,OSU,Ohio State Buckeyes,Buckeyes,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png
