play_id,sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
401714512101805101,101805101,DunkShot,Eddie Ricks III made Dunk. Assisted by Mark Freeman.,2,0,1st Half,19:48,True,256,2024-12-21T19:02:49Z
401714512101807901,101807901,DunkShot,Barry Dunning Jr. made Dunk.,2,2,1st Half,19:20,True,6,2024-12-21T19:02:49Z
401714512101814901,101814901,JumpShot,AJ Smith missed Jumper.,2,2,1st Half,18:50,False,256,2024-12-21T19:03:19Z
401714512101815001,101815001,Defensive Rebound,John Broom Defensive Rebound.,2,2,1st Half,18:49,False,6,2024-12-21T19:03:49Z
401714512101816701,101816701,JumpShot,Barry Dunning Jr. made Jumper.,2,4,1st Half,18:32,True,6,2024-12-21T19:03:49Z
401714512101818801,101818801,Lost Ball Turnover,Elijah Hutchins-Everett Turnover.,2,4,1st Half,18:11,False,256,2024-12-21T19:04:16Z
401714512101818802,101818802,Steal,Randy Brady Steal.,2,4,1st Half,18:11,False,6,2024-12-21T19:04:37Z
401714512101819501,101819501,JumpShot,Barry Dunning Jr. missed Three Point Jumper.,2,4,1st Half,18:04,False,6,2024-12-21T19:04:46Z
401714512101824001,101824001,Offensive Rebound,John Broom Offensive Rebound.,2,4,1st Half,17:59,False,6,2024-12-21T19:04:46Z
401714512101824101,101824101,JumpShot,Myles Corey made Jumper.,2,6,1st Half,17:58,True,6,2024-12-21T19:04:49Z
401714512101826101,101826101,Lost Ball Turnover,Eddie Ricks III Turnover.,2,6,1st Half,17:38,False,256,2024-12-21T19:04:52Z
401714512101826102,101826102,Steal,John Broom Steal.,2,6,1st Half,17:38,False,6,2024-12-21T19:05:10Z
401714512101827701,101827701,JumpShot,Myles Corey missed Three Point Jumper.,2,6,1st Half,17:22,False,6,2024-12-21T19:05:10Z
401714512101828101,101828101,Offensive Rebound,John Broom Offensive Rebound.,2,6,1st Half,17:18,False,6,2024-12-21T19:05:25Z
401714512101829301,101829301,JumpShot,Myles Corey made Three Point Jumper.,2,9,1st Half,17:06,True,6,2024-12-21T19:05:29Z
401714512101836001,101836001,LayUpShot,Mark Freeman missed Layup.,2,9,1st Half,16:39,False,256,2024-12-21T19:05:43Z
401714512101836201,101836201,Defensive Rebound,South Alabama Defensive Rebound.,2,9,1st Half,16:37,False,6,2024-12-21T19:05:43Z
401714512101838701,101838701,Lost Ball Turnover,Randy Brady Turnover.,2,9,1st Half,16:12,False,6,2024-12-21T19:06:55Z
401714512101845701,101845701,JumpShot,Bryce Lindsay missed Three Point Jumper.,2,9,1st Half,15:42,False,256,2024-12-21T19:07:03Z
401714512101845901,101845901,Offensive Rebound,Justin Taylor Offensive Rebound.,2,9,1st Half,15:40,False,256,2024-12-21T19:07:41Z
401714512101846501,101846501,PersonalFoul,Foul on Randy Brady.,2,9,1st Half,15:34,False,6,2024-12-21T19:07:49Z
401714512101846502,101846502,OfficialTVTimeOut, Official TV Timeout,2,9,1st Half,15:34,False,,2024-12-21T19:07:49Z
401714512101847001,101847001,Lost Ball Turnover,Justin Taylor Turnover.,2,9,1st Half,15:29,False,256,2024-12-21T19:10:13Z
401714512101847002,101847002,Steal,Randy Brady Steal.,2,9,1st Half,15:29,False,6,2024-12-21T19:10:13Z
401714512101847701,101847701,JumpShot,Dylan Fasoyiro missed Three Point Jumper.,2,9,1st Half,15:22,False,6,2024-12-21T19:10:13Z
401714512101848001,101848001,Defensive Rebound,Justin Taylor Defensive Rebound.,2,9,1st Half,15:19,False,256,2024-12-21T19:10:13Z
401714512101848501,101848501,LayUpShot,Xavier Brown made Layup.,4,9,1st Half,15:14,True,256,2024-12-21T19:10:31Z
401714512101849901,101849901,JumpShot,Myles Corey missed Three Point Jumper.,4,9,1st Half,15:00,False,6,2024-12-21T19:10:31Z
401714512101854201,101854201,Defensive Rebound,Justin Taylor Defensive Rebound.,4,9,1st Half,14:57,False,256,2024-12-21T19:10:31Z
401714512101854701,101854701,JumpShot,Luke Anderson missed Three Point Jumper.,4,9,1st Half,14:52,False,256,2024-12-21T19:10:52Z
