sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
1,James Barlow vs Riley Jacobs (Penn St.-York gains possession),James Barlow vs Riley Jacobs (Penn St.-York gains possession),0,0,1,20:00,False,0,2025-11-24T23:51:26.672677
2,Layup by Penn St.-York's Terrell Neal,Layup by Penn St.-York's Terrell Neal,2,0,1,19:41,False,53655,2025-11-24T23:51:26.672722
3,Layup by UMBC's Jah'Likai King,Layup by UMBC's Jah'Likai King,2,2,1,19:18,False,438,2025-11-24T23:51:26.672731
4,Jumper MISSED by Penn St.-York's Tony Benkovic,Jumper MISSED by Penn St.-York's Tony Benkovic,2,2,1,18:53,False,53655,2025-11-24T23:51:26.672738
5,Defensive rebound by UMBC's Jah'Likai King,Defensive rebound by UMBC's Jah'Likai King,2,2,1,18:50,False,438,2025-11-24T23:51:26.672743
6,Layup by UMBC's Caden Diggs,Layup by UMBC's Caden Diggs,2,4,1,18:35,False,438,2025-11-24T23:51:26.672749
7,Personal Foul on Penn St.-York's James Barlow (Caden Diggs draws the foul),Personal Foul on Penn St.-York's James Barlow (Caden Diggs draws the foul),2,4,1,18:35,False,53655,2025-11-24T23:51:26.672755
8,Free Throw  by UMBC's Caden Diggs,Free Throw  by UMBC's Caden Diggs,2,5,1,18:35,False,438,2025-11-24T23:51:26.672760
9,Turnover by Penn St.-York 's Quenton Wells,Turnover by Penn St.-York 's Quenton Wells,2,5,1,18:10,False,53655,2025-11-24T23:51:26.672765
10,Layup MISSED by UMBC's Jah'Likai King,Layup MISSED by UMBC's Jah'Likai King,2,5,1,18:00,False,438,2025-11-24T23:51:26.672770
11,Defensive rebound by Penn St.-York's James Barlow,Defensive rebound by Penn St.-York's James Barlow,2,5,1,17:57,False,53655,2025-11-24T23:51:26.672776
12,Jumper by Penn St.-York's John Godinez,Jumper by Penn St.-York's John Godinez,4,5,1,17:39,False,53655,2025-11-24T23:51:26.672781
13,Personal Foul on UMBC's Riley Jacobs (John Godinez draws the foul),Personal Foul on UMBC's Riley Jacobs (John Godinez draws the foul),4,5,1,17:39,False,438,2025-11-24T23:51:26.672801
14,Subbing out for Penn St.-York-James Barlow,Subbing out for Penn St.-York-James Barlow,4,5,1,17:39,False,53655,2025-11-24T23:51:26.672819
15,Subbing in for Penn St.-York-Joey Valerio,Subbing in for Penn St.-York-Joey Valerio,4,5,1,17:39,False,53655,2025-11-24T23:51:26.672826
16,Free Throw MISSED  by Penn St.-York's John Godinez,Free Throw MISSED  by Penn St.-York's John Godinez,4,5,1,17:39,False,53655,2025-11-24T23:51:26.672831
17,Defensive rebound by UMBC's Caden Diggs,Defensive rebound by UMBC's Caden Diggs,4,5,1,17:39,False,438,2025-11-24T23:51:26.672836
18,Jumper MISSED by UMBC's Jah'Likai King,Jumper MISSED by UMBC's Jah'Likai King,4,5,1,17:21,False,438,2025-11-24T23:51:26.672841
19,Offensive rebound by UMBC's Caden Diggs,Offensive rebound by UMBC's Caden Diggs,4,5,1,17:17,False,438,2025-11-24T23:51:26.672846
20,Layup MISSED by UMBC's Ace Valentine,Layup MISSED by UMBC's Ace Valentine,4,5,1,17:14,False,438,2025-11-24T23:51:26.672851
21,Defensive rebound by Penn St.-York's Terrell Neal,Defensive rebound by Penn St.-York's Terrell Neal,4,5,1,17:11,False,53655,2025-11-24T23:51:26.673149
22,Layup MISSED by Penn St.-York's Quenton Wells,Layup MISSED by Penn St.-York's Quenton Wells,4,5,1,17:02,False,53655,2025-11-24T23:51:26.673168
23,Block by UMBC's Caden Diggs,Block by UMBC's Caden Diggs,4,5,1,17:02,False,438,2025-11-24T23:51:26.673174
24,Defensive rebound by UMBC's Jah'Likai King,Defensive rebound by UMBC's Jah'Likai King,4,5,1,16:58,False,438,2025-11-24T23:51:26.673180
25,Layup by UMBC's Riley Jacobs,Layup by UMBC's Riley Jacobs,4,7,1,16:49,False,438,2025-11-24T23:51:26.673185
26,Layup by Penn St.-York's Terrell Neal,Layup by Penn St.-York's Terrell Neal,6,7,1,16:23,False,53655,2025-11-24T23:51:26.673191
27,Jumper MISSED by UMBC's Jah'Likai King,Jumper MISSED by UMBC's Jah'Likai King,6,7,1,16:11,False,438,2025-11-24T23:51:26.673196
28,Defensive rebound by Penn St.-York's Terrell Neal,Defensive rebound by Penn St.-York's Terrell Neal,6,7,1,16:09,False,53655,2025-11-24T23:51:26.673201
29,Jumper MISSED by Penn St.-York's John Godinez,Jumper MISSED by Penn St.-York's John Godinez,6,7,1,15:39,False,53655,2025-11-24T23:51:26.673206
30,Offensive rebound by Penn St.-York's Terrell Neal,Offensive rebound by Penn St.-York's Terrell Neal,6,7,1,15:37,False,53655,2025-11-24T23:51:26.673211
31,Layup by Penn St.-York's Joey Valerio,Layup by Penn St.-York's Joey Valerio,8,7,1,15:35,False,53655,2025-11-24T23:51:26.673216
32,Assist by Penn St.-York's Terrell Neal,Assist by Penn St.-York's Terrell Neal,8,7,1,15:35,False,53655,2025-11-24T23:51:26.673220
33,Personal Foul on Penn St.-York's Tony Benkovic (Ace Valentine draws the foul),Personal Foul on Penn St.-York's Tony Benkovic (Ace Valentine draws the foul),8,7,1,15:19,False,53655,2025-11-24T23:51:26.673225
34,Commercial time out.,Commercial time out.,8,7,1,15:19,False,0,2025-11-24T23:51:26.673244
