sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
1,Rienk Mast vs Tomislav Buljan (Nebraska gains possession),Rienk Mast vs Tomislav Buljan (Nebraska gains possession),0,0,1,20:00,False,0,2025-11-22T01:34:15.627021
2,Turnover by Nebraska 's Rienk Mast,Turnover by Nebraska 's Rienk Mast,0,0,1,19:46,False,2272,2025-11-22T01:34:15.627034
3,2 Pointer by Nebraska's Rienk Mast,2 Pointer by Nebraska's Rienk Mast,2,0,1,19:45,False,2272,2025-11-22T01:34:15.627037
4,Assist by Nebraska's Jamarques Lawrence,Assist by Nebraska's Jamarques Lawrence,2,0,1,19:45,False,2272,2025-11-22T01:34:15.627039
5,Jumper MISSED by New Mexico's Jake Hall,Jumper MISSED by New Mexico's Jake Hall,2,0,1,19:30,False,1630,2025-11-22T01:34:15.627041
6,Defensive rebound by Nebraska's Berke Buyuktuncel,Defensive rebound by Nebraska's Berke Buyuktuncel,2,0,1,19:26,False,2272,2025-11-22T01:34:15.627043
7,Jumper by Nebraska's Jamarques Lawrence,Jumper by Nebraska's Jamarques Lawrence,5,0,1,19:08,False,2272,2025-11-22T01:34:15.627045
8,Assist by Nebraska's Pryce Sandfort,Assist by Nebraska's Pryce Sandfort,5,0,1,19:08,False,2272,2025-11-22T01:34:15.627046
9,Jumper MISSED by New Mexico's Jake Hall,Jumper MISSED by New Mexico's Jake Hall,5,0,1,18:45,False,1630,2025-11-22T01:34:15.627048
10,Defensive rebound by Nebraska's Rienk Mast,Defensive rebound by Nebraska's Rienk Mast,5,0,1,18:40,False,2272,2025-11-22T01:34:15.627050
11,Personal Foul on New Mexico's Chris Howell (Rienk Mast draws the foul),Personal Foul on New Mexico's Chris Howell (Rienk Mast draws the foul),5,0,1,18:40,False,1630,2025-11-22T01:34:15.627052
12,Layup MISSED by Nebraska's Pryce Sandfort,Layup MISSED by Nebraska's Pryce Sandfort,5,0,1,18:28,False,2272,2025-11-22T01:34:15.627054
13,Defensive rebound by New Mexico's Chris Howell,Defensive rebound by New Mexico's Chris Howell,5,0,1,18:26,False,1630,2025-11-22T01:34:15.627056
14,Slam Dunk by New Mexico's Tomislav Buljan,Slam Dunk by New Mexico's Tomislav Buljan,5,2,1,18:21,True,1630,2025-11-22T01:34:15.627057
15,Assist by New Mexico's Deyton Albury,Assist by New Mexico's Deyton Albury,5,2,1,18:21,False,1630,2025-11-22T01:34:15.627059
16,2 Pointer by Nebraska's Rienk Mast,2 Pointer by Nebraska's Rienk Mast,7,2,1,17:54,False,2272,2025-11-22T01:34:15.627061
17,Turnover by New Mexico 's Antonio Chol,Turnover by New Mexico 's Antonio Chol,7,2,1,17:35,False,1630,2025-11-22T01:34:15.627062
