sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
180,Defensive rebound by North Dakota St.'s Noah Feddersen,Defensive rebound by North Dakota St.'s Noah Feddersen,17,42,1,04:22,False,1641,2025-11-22T01:23:34.214234
181,Jumper MISSED by North Dakota St.'s Tay Smith,Jumper MISSED by North Dakota St.'s Tay Smith,17,42,1,04:18,False,1641,2025-11-22T01:23:34.214237
182,Subbing out for St. Scholastica-Davion Butler,Subbing out for St. Scholastica-Davion Butler,17,42,1,04:14,False,1679,2025-11-22T01:23:34.214240
183,Subbing out for St. Scholastica-Aaron Keykal,Subbing out for St. Scholastica-Aaron Keykal,17,42,1,04:14,False,1679,2025-11-22T01:23:34.214243
184,Subbing in for St. Scholastica-Koy Nelson,Subbing in for St. Scholastica-Koy Nelson,17,42,1,04:14,False,1679,2025-11-22T01:23:34.214246
185,Subbing in for St. Scholastica-Ben Raymond,Subbing in for St. Scholastica-Ben Raymond,17,42,1,04:14,False,1679,2025-11-22T01:23:34.214249
186,Defensive rebound by St. Scholastica's St. Scholastica,Defensive rebound by St. Scholastica's St. Scholastica,17,42,1,04:12,False,1679,2025-11-22T01:23:34.214252
187,Commercial time out.,Commercial time out.,17,42,1,03:53,False,0,2025-11-22T01:23:34.214255
188,Subbing out for North Dakota St.-Trevian Carson,Subbing out for North Dakota St.-Trevian Carson,17,42,1,03:53,False,1641,2025-11-22T01:23:34.214259
189,Subbing out for North Dakota St.-Noah Feddersen,Subbing out for North Dakota St.-Noah Feddersen,17,42,1,03:53,False,1641,2025-11-22T01:23:34.214262
190,Subbing in for North Dakota St.-Riley Massey,Subbing in for North Dakota St.-Riley Massey,17,42,1,03:53,False,1641,2025-11-22T01:23:34.214265
191,Subbing in for North Dakota St.-Treyson Anderson,Subbing in for North Dakota St.-Treyson Anderson,17,42,1,03:53,False,1641,2025-11-22T01:23:34.214268
192,Subbing out for St. Scholastica-Nebiyu Teklemariam,Subbing out for St. Scholastica-Nebiyu Teklemariam,17,42,1,03:53,False,1679,2025-11-22T01:23:34.214271
193,Subbing in for St. Scholastica-Drelyn Jones,Subbing in for St. Scholastica-Drelyn Jones,17,42,1,03:53,False,1679,2025-11-22T01:23:34.214274
194,Turnover by St. Scholastica 's Tanner Thomson,Turnover by St. Scholastica 's Tanner Thomson,17,42,1,03:52,False,1679,2025-11-22T01:23:34.214277
195,Personal Foul on St. Scholastica's Paul Harris (Treyson Anderson draws the foul),Personal Foul on St. Scholastica's Paul Harris (Treyson Anderson draws the foul),17,42,1,03:37,False,1679,2025-11-22T01:23:34.214280
196,Free Throw MISSED  by North Dakota St.'s Treyson Anderson,Free Throw MISSED  by North Dakota St.'s Treyson Anderson,17,42,1,03:37,False,1641,2025-11-22T01:23:34.214283
197,North Dakota St. gets a rebound from a dead ball.,North Dakota St. gets a rebound from a dead ball.,17,42,1,03:37,False,1641,2025-11-22T01:23:34.214286
198,Free Throw MISSED  by North Dakota St.'s Treyson Anderson,Free Throw MISSED  by North Dakota St.'s Treyson Anderson,17,42,1,03:37,False,1641,2025-11-22T01:23:34.214289
199,Defensive rebound by St. Scholastica's Drelyn Jones,Defensive rebound by St. Scholastica's Drelyn Jones,17,42,1,03:35,False,1679,2025-11-22T01:23:34.214292
200,Turnover by St. Scholastica 's Koy Nelson,Turnover by St. Scholastica 's Koy Nelson,17,42,1,03:24,False,1679,2025-11-22T01:23:34.214295
201,Turnover by North Dakota St. 's Damari Wheeler-Thomas,Turnover by North Dakota St. 's Damari Wheeler-Thomas,17,42,1,03:10,False,1641,2025-11-22T01:23:34.214297
202,Steal by St. Scholastica's Koy Nelson,Steal by St. Scholastica's Koy Nelson,17,42,1,03:10,False,1679,2025-11-22T01:23:34.214301
203,Layup by St. Scholastica's Paul Harris,Layup by St. Scholastica's Paul Harris,19,42,1,03:07,False,1679,2025-11-22T01:23:34.214304
204,Assist by St. Scholastica's Koy Nelson,Assist by St. Scholastica's Koy Nelson,19,42,1,03:07,False,1679,2025-11-22T01:23:34.214307
205,Turnover by North Dakota St. 's Treyson Anderson,Turnover by North Dakota St. 's Treyson Anderson,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214310
206,Subbing out for North Dakota St.-Riley Massey,Subbing out for North Dakota St.-Riley Massey,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214313
207,Subbing out for North Dakota St.-Tay Smith,Subbing out for North Dakota St.-Tay Smith,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214316
208,Subbing out for North Dakota St.-Emil Skytta,Subbing out for North Dakota St.-Emil Skytta,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214319
209,Subbing out for North Dakota St.-Treyson Anderson,Subbing out for North Dakota St.-Treyson Anderson,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214322
210,Subbing in for North Dakota St.-Trevian Carson,Subbing in for North Dakota St.-Trevian Carson,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214324
211,Subbing in for North Dakota St.-Andy Stefonowicz,Subbing in for North Dakota St.-Andy Stefonowicz,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214327
212,Subbing in for North Dakota St.-Markhi Strickland,Subbing in for North Dakota St.-Markhi Strickland,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214330
213,Subbing in for North Dakota St.-Noah Feddersen,Subbing in for North Dakota St.-Noah Feddersen,19,42,1,02:55,False,1641,2025-11-22T01:23:34.214333
214,Jumper MISSED by St. Scholastica's Drelyn Jones,Jumper MISSED by St. Scholastica's Drelyn Jones,19,42,1,02:42,False,1679,2025-11-22T01:23:34.214336
215,Defensive rebound by North Dakota St.'s Andy Stefonowicz,Defensive rebound by North Dakota St.'s Andy Stefonowicz,19,42,1,02:39,False,1641,2025-11-22T01:23:34.214339
216,Layup by North Dakota St.'s Damari Wheeler-Thomas,Layup by North Dakota St.'s Damari Wheeler-Thomas,19,44,1,02:35,False,1641,2025-11-22T01:23:34.214343
217,Assist by North Dakota St.'s Markhi Strickland,Assist by North Dakota St.'s Markhi Strickland,19,44,1,02:35,False,1641,2025-11-22T01:23:34.214346
218,Turnover by St. Scholastica 's Koy Nelson,Turnover by St. Scholastica 's Koy Nelson,19,44,1,02:16,False,1679,2025-11-22T01:23:34.214348
219,Steal by North Dakota St.'s Damari Wheeler-Thomas,Steal by North Dakota St.'s Damari Wheeler-Thomas,19,44,1,02:16,False,1641,2025-11-22T01:23:34.214351
220,Layup by North Dakota St.'s Markhi Strickland,Layup by North Dakota St.'s Markhi Strickland,19,46,1,02:11,False,1641,2025-11-22T01:23:34.214354
221,Assist by North Dakota St.'s Damari Wheeler-Thomas,Assist by North Dakota St.'s Damari Wheeler-Thomas,19,46,1,02:11,False,1641,2025-11-22T01:23:34.214357
222,Jumper MISSED by St. Scholastica's Paul Harris,Jumper MISSED by St. Scholastica's Paul Harris,19,46,1,01:51,False,1679,2025-11-22T01:23:34.214359
223,Defensive rebound by North Dakota St.'s Damari Wheeler-Thomas,Defensive rebound by North Dakota St.'s Damari Wheeler-Thomas,19,46,1,01:46,False,1641,2025-11-22T01:23:34.214362
224,Layup MISSED by North Dakota St.'s Noah Feddersen,Layup MISSED by North Dakota St.'s Noah Feddersen,19,46,1,01:40,False,1641,2025-11-22T01:23:34.214365
225,Defensive rebound by St. Scholastica's Drelyn Jones,Defensive rebound by St. Scholastica's Drelyn Jones,19,46,1,01:37,False,1679,2025-11-22T01:23:34.214368
226,Jumper MISSED by St. Scholastica's Paul Harris,Jumper MISSED by St. Scholastica's Paul Harris,19,46,1,01:33,False,1679,2025-11-22T01:23:34.214371
227,Defensive rebound by North Dakota St.'s Trevian Carson,Defensive rebound by North Dakota St.'s Trevian Carson,19,46,1,01:30,False,1641,2025-11-22T01:23:34.214373
228,Layup by North Dakota St.'s Markhi Strickland,Layup by North Dakota St.'s Markhi Strickland,19,48,1,01:25,False,1641,2025-11-22T01:23:34.214376
229,Assist by North Dakota St.'s Andy Stefonowicz,Assist by North Dakota St.'s Andy Stefonowicz,19,48,1,01:25,False,1641,2025-11-22T01:23:34.214379
230,Turnover by St. Scholastica 's Tanner Thomson,Turnover by St. Scholastica 's Tanner Thomson,19,48,1,00:56,False,1679,2025-11-22T01:23:34.214381
231,Subbing out for St. Scholastica-Koy Nelson,Subbing out for St. Scholastica-Koy Nelson,19,48,1,00:56,False,1679,2025-11-22T01:23:34.214384
232,Subbing out for St. Scholastica-Paul Harris,Subbing out for St. Scholastica-Paul Harris,19,48,1,00:56,False,1679,2025-11-22T01:23:34.214387
233,Subbing out for St. Scholastica-Drelyn Jones,Subbing out for St. Scholastica-Drelyn Jones,19,48,1,00:56,False,1679,2025-11-22T01:23:34.214390
234,Subbing in for St. Scholastica-Jayden Brown,Subbing in for St. Scholastica-Jayden Brown,19,48,1,00:56,False,1679,2025-11-22T01:23:34.214393
235,Subbing in for St. Scholastica-Hayden Kloos,Subbing in for St. Scholastica-Hayden Kloos,19,48,1,00:56,False,1679,2025-11-22T01:23:34.214396
