sequence_number,type,description,away_score,home_score,period,clock,scoring_play,team_id,timestamp_utc
1,Paul Otieno vs Stephen Byard (Saint Louis gains possession),Paul Otieno vs Stephen Byard (Saint Louis gains possession),0,0,1,20:00,False,0,2025-11-22T01:14:03.700918
2,Layup by Saint Louis's Robbie Avila,Layup by Saint Louis's Robbie Avila,0,2,1,19:46,False,946,2025-11-22T01:14:03.700947
3,Assist by Saint Louis's Brady Dunlap,Assist by Saint Louis's Brady Dunlap,0,2,1,19:46,False,946,2025-11-22T01:14:03.700955
4,Jumper by Chicago St.'s Dailliss Cox,Jumper by Chicago St.'s Dailliss Cox,2,2,1,19:24,False,2107,2025-11-22T01:14:03.700961
5,Assist by Chicago St.'s Marcus Tankersley,Assist by Chicago St.'s Marcus Tankersley,2,2,1,19:24,False,2107,2025-11-22T01:14:03.700967
6,Turnover by Saint Louis 's Dion Brown,Turnover by Saint Louis 's Dion Brown,2,2,1,19:16,False,946,2025-11-22T01:14:03.700974
7,Steal by Chicago St.'s Braelon Bush,Steal by Chicago St.'s Braelon Bush,2,2,1,19:16,False,2107,2025-11-22T01:14:03.700979
8,Jumper by Chicago St.'s Braelon Bush,Jumper by Chicago St.'s Braelon Bush,5,2,1,19:11,False,2107,2025-11-22T01:14:03.700985
9,Jumper MISSED by Saint Louis's Robbie Avila,Jumper MISSED by Saint Louis's Robbie Avila,5,2,1,18:57,False,946,2025-11-22T01:14:03.700991
10,Offensive rebound by Saint Louis's Brady Dunlap,Offensive rebound by Saint Louis's Brady Dunlap,5,2,1,18:53,False,946,2025-11-22T01:14:03.700997
11,Jumper MISSED by Saint Louis's Dion Brown,Jumper MISSED by Saint Louis's Dion Brown,5,2,1,18:49,False,946,2025-11-22T01:14:03.701002
12,Defensive rebound by Chicago St.'s Stephen Byard,Defensive rebound by Chicago St.'s Stephen Byard,5,2,1,18:46,False,2107,2025-11-22T01:14:03.701008
13,Jumper MISSED by Chicago St.'s Marcus Tankersley,Jumper MISSED by Chicago St.'s Marcus Tankersley,5,2,1,18:28,False,2107,2025-11-22T01:14:03.701014
14,Defensive rebound by Saint Louis's Dion Brown,Defensive rebound by Saint Louis's Dion Brown,5,2,1,18:25,False,946,2025-11-22T01:14:03.701019
15,Layup MISSED by Saint Louis's Paul Otieno,Layup MISSED by Saint Louis's Paul Otieno,5,2,1,18:20,False,946,2025-11-22T01:14:03.701024
16,Defensive rebound by Chicago St.'s Braelon Bush,Defensive rebound by Chicago St.'s Braelon Bush,5,2,1,18:17,False,2107,2025-11-22T01:14:03.701029
17,Layup MISSED by Chicago St.'s Deshawn Jean-Charles,Layup MISSED by Chicago St.'s Deshawn Jean-Charles,5,2,1,18:14,False,2107,2025-11-22T01:14:03.701035
18,Block by Saint Louis's Paul Otieno,Block by Saint Louis's Paul Otieno,5,2,1,18:14,False,946,2025-11-22T01:14:03.701041
19,Offensive rebound by Chicago St.'s Chicago St.,Offensive rebound by Chicago St.'s Chicago St.,5,2,1,18:14,False,2107,2025-11-22T01:14:03.701046
20,Turnover by Chicago St. 's Marcus Tankersley,Turnover by Chicago St. 's Marcus Tankersley,5,2,1,18:04,False,2107,2025-11-22T01:14:03.701052
21,Steal by Saint Louis's Paul Otieno,Steal by Saint Louis's Paul Otieno,5,2,1,18:04,False,946,2025-11-22T01:14:03.701057
22,Slam Dunk by Saint Louis's Paul Otieno,Slam Dunk by Saint Louis's Paul Otieno,5,4,1,18:00,True,946,2025-11-22T01:14:03.701062
23,Turnover by Chicago St. 's Stephen Byard,Turnover by Chicago St. 's Stephen Byard,5,4,1,17:44,False,2107,2025-11-22T01:14:03.701068
24,Steal by Saint Louis's Paul Otieno,Steal by Saint Louis's Paul Otieno,5,4,1,17:44,False,946,2025-11-22T01:14:03.701074
25,Turnover by Saint Louis 's Kellen Thames,Turnover by Saint Louis 's Kellen Thames,5,4,1,17:37,False,946,2025-11-22T01:14:03.701080
26,Steal by Chicago St.'s Braelon Bush,Steal by Chicago St.'s Braelon Bush,5,4,1,17:37,False,2107,2025-11-22T01:14:03.701086
27,Jumper MISSED by Chicago St.'s Braelon Bush,Jumper MISSED by Chicago St.'s Braelon Bush,5,4,1,17:29,False,2107,2025-11-22T01:14:03.701092
28,Defensive rebound by Saint Louis's Kellen Thames,Defensive rebound by Saint Louis's Kellen Thames,5,4,1,17:28,False,946,2025-11-22T01:14:03.701097
29,Personal Foul on Chicago St.'s Deshawn Jean-Charles (Kellen Thames draws the foul),Personal Foul on Chicago St.'s Deshawn Jean-Charles (Kellen Thames draws the foul),5,4,1,17:28,False,2107,2025-11-22T01:14:03.701104
30,Subbing out for Chicago St.-Deshawn Jean-Charles,Subbing out for Chicago St.-Deshawn Jean-Charles,5,4,1,17:28,False,2107,2025-11-22T01:14:03.701110
31,Subbing out for Chicago St.-Stephen Byard,Subbing out for Chicago St.-Stephen Byard,5,4,1,17:28,False,2107,2025-11-22T01:14:03.701115
32,Subbing in for Chicago St.-Daniel Zatsepin,Subbing in for Chicago St.-Daniel Zatsepin,5,4,1,17:28,False,2107,2025-11-22T01:14:03.701120
33,Subbing in for Chicago St.-Corey Sands,Subbing in for Chicago St.-Corey Sands,5,4,1,17:28,False,2107,2025-11-22T01:14:03.701126
34,Personal Foul on Chicago St.'s Daniel Zatsepin (Kellen Thames draws the foul),Personal Foul on Chicago St.'s Daniel Zatsepin (Kellen Thames draws the foul),5,4,1,17:24,False,2107,2025-11-22T01:14:03.701133
35,Personal Foul on Chicago St.'s Daniel Zatsepin (Kellen Thames draws the foul),Personal Foul on Chicago St.'s Daniel Zatsepin (Kellen Thames draws the foul),5,4,1,17:23,False,2107,2025-11-22T01:14:03.701138
36,Subbing out for Chicago St.-Daniel Zatsepin,Subbing out for Chicago St.-Daniel Zatsepin,5,4,1,17:23,False,2107,2025-11-22T01:14:03.701144
37,Subbing in for Chicago St.-CJ Ray,Subbing in for Chicago St.-CJ Ray,5,4,1,17:23,False,2107,2025-11-22T01:14:03.701149
38,Free Throw  by Saint Louis's Kellen Thames,Free Throw  by Saint Louis's Kellen Thames,5,5,1,17:23,False,946,2025-11-22T01:14:03.701155
39,Free Throw  by Saint Louis's Kellen Thames,Free Throw  by Saint Louis's Kellen Thames,5,6,1,17:23,False,946,2025-11-22T01:14:03.701160
40,Turnover by Chicago St. 's Marcus Tankersley,Turnover by Chicago St. 's Marcus Tankersley,5,6,1,17:11,False,2107,2025-11-22T01:14:03.701166
41,Steal by Saint Louis's Kellen Thames,Steal by Saint Louis's Kellen Thames,5,6,1,17:11,False,946,2025-11-22T01:14:03.701171
42,Layup by Saint Louis's Kellen Thames,Layup by Saint Louis's Kellen Thames,5,8,1,17:07,False,946,2025-11-22T01:14:03.701177
43,2 Pointer MISSED by Chicago St.'s Chicago St.,2 Pointer MISSED by Chicago St.'s Chicago St.,5,8,1,16:43,False,2107,2025-11-22T01:14:03.701182
44,Subbing out for Chicago St.-Daniel Zatsepin,Subbing out for Chicago St.-Daniel Zatsepin,10,10,1,16:42,False,2107,2025-11-22T01:14:03.701187
45,Subbing in for Chicago St.-CJ Ray,Subbing in for Chicago St.-CJ Ray,10,10,1,16:42,False,2107,2025-11-22T01:14:03.701192
46,Jumper MISSED by Chicago St.'s CJ Ray,Jumper MISSED by Chicago St.'s CJ Ray,5,8,1,16:42,False,2107,2025-11-22T01:14:03.701197
47,Defensive rebound by Saint Louis's Saint Louis,Defensive rebound by Saint Louis's Saint Louis,5,8,1,16:42,False,946,2025-11-22T01:14:03.701203
48,Jumper MISSED by Saint Louis's Brady Dunlap,Jumper MISSED by Saint Louis's Brady Dunlap,5,8,1,16:29,False,946,2025-11-22T01:14:03.701208
49,Defensive rebound by Chicago St.'s Braelon Bush,Defensive rebound by Chicago St.'s Braelon Bush,5,8,1,16:26,False,2107,2025-11-22T01:14:03.701213
50,Jumper MISSED by Chicago St.'s Marcus Tankersley,Jumper MISSED by Chicago St.'s Marcus Tankersley,5,8,1,16:08,False,2107,2025-11-22T01:14:03.701218
51,Block by Saint Louis's Paul Otieno,Block by Saint Louis's Paul Otieno,5,8,1,16:08,False,946,2025-11-22T01:14:03.701224
52,Offensive rebound by Chicago St.'s Chicago St.,Offensive rebound by Chicago St.'s Chicago St.,5,8,1,16:04,False,2107,2025-11-22T01:14:03.701229
53,Jumper MISSED by Chicago St.'s Marcus Tankersley,Jumper MISSED by Chicago St.'s Marcus Tankersley,5,8,1,15:57,False,2107,2025-11-22T01:14:03.701234
54,Defensive rebound by Saint Louis's Kellen Thames,Defensive rebound by Saint Louis's Kellen Thames,5,8,1,15:55,False,946,2025-11-22T01:14:03.701240
55,Layup by Saint Louis's Kellen Thames,Layup by Saint Louis's Kellen Thames,5,10,1,15:46,False,946,2025-11-22T01:14:03.701245
56,Jumper by Chicago St.'s Corey Sands,Jumper by Chicago St.'s Corey Sands,8,10,1,15:16,False,2107,2025-11-22T01:14:03.701251
57,Assist by Chicago St.'s CJ Ray,Assist by Chicago St.'s CJ Ray,8,10,1,15:16,False,2107,2025-11-22T01:14:03.701256
58,Jumper MISSED by Saint Louis's Brady Dunlap,Jumper MISSED by Saint Louis's Brady Dunlap,8,10,1,15:09,False,946,2025-11-22T01:14:03.701261
59,Defensive rebound by Chicago St.'s Marcus Tankersley,Defensive rebound by Chicago St.'s Marcus Tankersley,8,10,1,15:07,False,2107,2025-11-22T01:14:03.701266
60,Layup by Chicago St.'s Braelon Bush,Layup by Chicago St.'s Braelon Bush,10,10,1,15:02,False,2107,2025-11-22T01:14:03.701272
61,Saint Louis takes a [short] time out.,Saint Louis takes a [short] time out.,10,10,1,15:02,False,946,2025-11-22T01:14:03.701277
62,Commercial time out.,Commercial time out.,10,10,1,15:02,False,0,2025-11-22T01:14:03.701283
63,Subbing out for Saint Louis-Kellen Thames,Subbing out for Saint Louis-Kellen Thames,10,10,1,15:02,False,946,2025-11-22T01:14:03.701288
