game_id,team_id,player_id,displayName,starter,didNotPlay,minutes,points,rebounds,assists,fieldGoalsMade,fieldGoalsAttempted,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,steals,blocks,turnovers,fouls
6502877,1813,15,Joshua Aaron Reaves,False,False,15.2,5,8,1,2,4,1,3,0,0,0,0,0,0
6502877,1813,5,Cruz Davis,True,False,33.1,24,10,8,10,16,3,8,1,2,3,0,2,1
6502877,1813,4,Joshua DeCady,False,False,19.3,6,3,1,3,7,0,2,0,0,1,0,1,2
6502877,1813,1,Preston Edmead,True,False,28.1,12,1,6,3,8,2,7,4,5,2,0,3,0
6502877,1813,6,Victory Onuetu,False,False,22.9,10,12,1,4,8,0,0,2,4,0,1,1,3
6502877,1813,25,German Plotnikov,True,False,25.6,15,1,1,6,11,3,8,0,0,0,3,0,2
6502877,1813,7,Jaeden Roberts,False,False,6.2,2,0,0,1,2,0,1,0,0,0,0,0,0
6502877,1813,33,Silas Sunday,True,False,13.0,2,3,1,1,1,0,0,0,0,0,0,0,0
6502877,1813,17,Alex Tsynkevich,False,False,3.5,0,2,0,0,0,0,0,0,2,0,0,1,1
6502877,1813,11,Amir Williams,False,False,4.4,0,1,0,0,0,0,0,0,0,0,0,1,0
6502877,810,3,Harry Adam,False,False,2.3,2,0,0,1,1,0,0,0,0,1,0,0,0
6502877,810,20,Saba Beroshvili,False,False,2.3,2,0,0,1,2,0,1,0,0,0,0,0,1
6502877,810,44,Sebastian Bosquez,False,False,14.4,6,4,0,3,8,0,0,0,0,0,0,3,4
6502877,810,25,Darius Coleman,True,False,24.2,12,6,2,4,10,1,2,3,4,1,0,2,2
6502877,810,12,Sey Dieng,False,False,14.6,0,3,1,0,1,0,0,0,0,0,0,0,2
6502877,810,1,Raymond Kinnard,False,False,24.8,8,3,2,4,11,0,4,0,2,0,0,1,1
6502877,810,9,Bryce Merchant,True,False,36.4,13,0,1,6,14,1,4,0,0,0,1,0,2
6502877,810,4,Ebubenna Nwabudu,False,False,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0
6502877,810,13,Chase Timberlake,True,False,26.8,3,5,0,1,4,0,2,1,3,1,0,4,1
6502877,810,10,Jared Weakly,True,False,34.1,13,7,5,6,16,1,7,0,0,2,0,2,0
