game_id,team_id,player_id,displayName,starter,minutes,points,rebounds,assists,fieldGoalsMade,threePointsMade,freeThrowsMade
6502539,796,8,Josh Clark,False,4.3,2,0,0,0,0,2
6502539,796,12,Ben Gold,True,37.8,17,7,0,5,3,4
6502539,796,18,Caedin Hamilton,True,26.5,2,10,2,1,0,0
6502539,796,7,Zaide Lowery,True,15.4,0,1,0,0,0,0
6502539,796,5,Tre Norman,False,8.8,2,1,1,0,0,2
6502539,796,9,Damarius Owens,False,3.4,0,0,0,0,0,0
6502539,796,13,Royce Parham,False,18.0,6,4,0,1,0,4
6502539,796,35,Michael Phillips II,False,4.9,0,0,0,0,0,0
6502539,796,2,Chase Ross,True,40.5,16,5,3,4,1,7
6502539,796,10,Adrien Stevens,False,29.4,9,3,1,3,1,2
6502539,637,11,Isaiah Barnes,True,29.2,8,1,1,3,1,1
6502539,637,10,Mark Brown,False,25.9,3,3,4,1,1,0
6502539,637,12,Owen Dease,False,24.6,17,6,2,5,2,5
6502539,637,13,Carter Hopoi,False,4.7,0,0,0,0,0,0
6502539,637,1,Justus McNair,False,5.8,0,0,1,0,0,0
6502539,637,7,JT Pettigrew,True,26.9,16,8,1,7,0,2
6502539,637,35,Tucker Tornatta,False,18.6,4,3,1,2,0,0
6502539,637,23,Shon Tupuola,True,32.4,2,8,0,1,0,0
6502539,637,3,Brody Whitaker,True,36.5,9,3,2,4,1,0
