game_id,team_id,player_id,displayName,starter,didNotPlay,minutes,points,rebounds,assists,fieldGoalsMade,fieldGoalsAttempted,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,steals,blocks,turnovers,fouls
6503422,1486,21,Cooper Bowser,True,False,29.2,10,8,0,4,5,0,0,2,2,1,1,1,3
6503422,1486,2,Eddrin Bronson,False,False,22.1,14,2,0,5,10,4,7,0,0,2,0,1,0
6503422,1486,12,Tom House,True,False,22.2,2,4,2,0,6,0,4,2,2,1,0,2,2
6503422,1486,1,Charles Johnston,True,False,27.4,5,10,0,2,6,1,4,0,2,2,0,6,3
6503422,1486,8,Collin O'Neal,False,False,3.9,0,1,0,0,1,0,1,0,0,0,0,0,1
6503422,1486,15,Owen Ritger,False,False,1.6,0,0,0,0,0,0,0,0,0,0,0,1,0
6503422,1486,3,Asa Thomas,False,False,22.8,9,3,0,3,8,3,5,0,0,0,1,0,3
6503422,1486,4,Ben Vander Wal,True,False,31.7,2,2,3,1,4,0,0,0,2,1,0,2,1
6503422,1486,10,Alex Wilkins,True,False,31.2,16,2,8,6,15,1,3,3,3,0,0,4,1
6503422,2350,10,Jerrell Bellamy,False,False,8.0,2,1,0,1,2,0,1,0,0,0,0,2,1
6503422,2350,2,Cobi Campbell,True,False,30.9,5,2,1,1,6,1,3,2,3,1,0,2,0
6503422,2350,3,Cooper Campbell,True,False,32.4,21,5,3,8,13,5,9,0,0,3,0,3,2
6503422,2350,95,Austin Cross,False,False,15.8,6,0,0,2,3,2,3,0,0,0,0,0,1
6503422,2350,1,Thomas Dowd,True,False,31.9,11,6,2,4,9,0,5,3,4,2,3,1,3
6503422,2350,22,Corbin Green,False,False,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
6503422,2350,33,Theo Seng,True,False,34.9,6,7,1,2,8,0,2,2,2,1,0,1,2
6503422,2350,11,Victor Valdes,True,False,27.6,11,5,1,4,10,1,3,2,4,3,1,3,1
