contest_id,team_side,team_id,team_name,team_name_full,fg_made,fg_att,fg_pct,3pt_made,3pt_att,3pt_pct,ft_made,ft_att,ft_pct,rebounds_tot,rebounds_off,rebounds_def,assists,steals,blocks,turnovers,fouls,points,fast_break_pts,paint_pts,turnover_pts,bench_pts,largest_lead
6505938,home,438,UMBC,"University of Maryland, Baltimore County",27,63,4286.0%,11,28,3929.0%,9,13,6923.0%,41,10,,14,6,3,11,16,,,,,,
6505938,away,53655,Penn St.-York,Penn St.-York,21,60,3500.0%,1,13,769.0%,10,17,5882.0%,37,10,,5,3,5,13,12,,,,,,
6502236,home,243,Purdue,Purdue University,28,59,4746.0%,13,29,4483.0%,13,16,8125.0%,40,12,,22,4,4,7,9,,,,,,
6502236,away,1787,Evansville,University of Evansville,21,70,3000.0%,7,34,2059.0%,2,4,5000.0%,40,20,,13,2,2,10,15,,,,,,
6501620,home,2126,East Carolina,East Carolina University,31,66,4697.0%,4,20,2000.0%,26,41,6341.0%,44,18,,18,8,5,13,20,,,,,,
6501620,away,1804,Ga. Southern,Georgia Southern University,31,66,4697.0%,9,22,4091.0%,18,30,6000.0%,37,14,,12,11,1,14,26,,,,,,
6502040,home,989,West Virginia,West Virginia University,21,48,4375.0%,5,18,2778.0%,23,35,6571.0%,29,6,,10,13,2,9,17,,,,,,
6502040,away,903,Mount St. Mary's,Mount St. Mary's University,18,46,3913.0%,5,17,2941.0%,13,19,6842.0%,38,8,,10,8,1,20,25,,,,,,
6502206,home,2458,Fordham,Fordham University,23,67,3433.0%,4,24,1667.0%,11,18,6111.0%,45,19,,9,6,4,8,15,,,,,,
6502206,away,2275,NJIT,New Jersey Institute of Technology,28,59,4746.0%,12,22,5455.0%,4,8,5000.0%,37,9,,14,4,3,11,13,,,,,,
