game_id,team_id,home_away,fieldGoalsMade-fieldGoalsAttempted,fieldGoalPct,threePointFieldGoalsMade-threePointFieldGoalsAttempted,threePointFieldGoalPct,freeThrowsMade-freeThrowsAttempted,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fastBreakPoints,pointsInPaint,fouls,largestLead
401711636,526,away,30-67,44.8,12-27,44.4,11-16,68.8,30,12,18,21,4,0,7,0,7,0,0,0,15,12,34,19,0
401711636,2511,home,31-60,51.7,12-29,41.4,18-23,78.3,37,14,23,19,3,7,12,1,12,0,0,0,9,12,38,15,17
