game_id,team_id,home_away,fieldGoalsMade-fieldGoalsAttempted,fieldGoalPct,threePointFieldGoalsMade-threePointFieldGoalsAttempted,threePointFieldGoalPct,freeThrowsMade-freeThrowsAttempted,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fastBreakPoints,pointsInPaint,fouls
401722308,2541,away,27-66,40.9,10-33,30.3,10-16,62.5,35,12,23,15,11,0,9,2,9,0,0,0,17,11,30,20
401722308,9,home,24-53,45.3,15-36,41.7,18-27,66.7,40,11,29,18,2,5,15,0,15,0,0,0,11,14,18,20
