game_id,team_id,home_away,fieldGoalsMade-fieldGoalsAttempted,fieldGoalPct,threePointFieldGoalsMade-threePointFieldGoalsAttempted,threePointFieldGoalPct,freeThrowsMade-freeThrowsAttempted,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fastBreakPoints,pointsInPaint,fouls
401729956,526,away,26-49,53.1,3-12,25.0,6-8,75.0,24,5,19,9,9,2,15,0,15,0,0,0,17,3,40,21
401729956,2181,home,20-45,44.4,6-21,28.6,17-25,68.0,29,10,19,9,9,2,16,2,16,0,0,0,17,6,28,14
