game_id,team_id,home_away,fieldGoalsMade-fieldGoalsAttempted,fieldGoalPct,threePointFieldGoalsMade-threePointFieldGoalsAttempted,threePointFieldGoalPct,freeThrowsMade-freeThrowsAttempted,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fastBreakPoints,pointsInPaint,fouls
401714993,2377,away,22-53,41.5,9-22,40.9,10-17,58.8,39,11,28,12,5,5,15,1,15,0,0,0,5,5,24,25
401714993,344,home,19-52,36.5,5-18,27.8,23-33,69.7,35,11,24,11,11,1,8,1,8,0,0,0,20,9,28,13
