game_id,team_id,home_away,avgPoints,fieldGoalPct,threePointFieldGoalPct,avgRebounds,avgAssists,avgBlocks,avgSteals,avgTeamTurnovers,avgTotalTurnovers,streak,avgPointsAgainst
401726454,128336,away,49.0,25.0,24.0,25.0,5.0,0.0,4.0,1.0,16.0,,
401726454,2466,home,68.7,43.8,35.8,35.6,13.4,4.3,6.8,0.7,13.7,L1,68.3
