game_id,team_id,home_away,fieldGoalsMade-fieldGoalsAttempted,fieldGoalPct,threePointFieldGoalsMade-threePointFieldGoalsAttempted,threePointFieldGoalPct,freeThrowsMade-freeThrowsAttempted,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fastBreakPoints,pointsInPaint,fouls
401700400,2603,away,32-69,46.4,10-26,38.5,12-14,85.7,43,20,23,12,10,4,9,0,9,0,0,0,24,6,42,10
401700400,219,home,27-57,47.4,8-23,34.8,7-9,77.8,26,8,18,16,3,1,13,1,13,0,0,0,7,5,36,13
