team_id,name,abbreviation,displayName,logo
438,UMBC,UMBC,"University of Maryland, Baltimore County",
53655,Penn St.-York,Penn St.-York,Penn St.-York,
243,Purdue,Purdue,Purdue University,
1787,Evansville,Evansville,University of Evansville,
2126,East Carolina,East Carolina,East Carolina University,
1804,Ga. Southern,Ga. Southern,Georgia Southern University,
989,West Virginia,West Virginia,West Virginia University,
903,Mount St. Mary's,Mount St. Mary's,Mount St. Mary's University,
2458,Fordham,Fordham,Fordham University,
2275,NJIT,NJIT,New Jersey Institute of Technology,
393,Florida St.,Florida St.,Florida State University,
1860,Alcorn,Alcorn,Alcorn State University,
1128,Kentucky,Kentucky,University of Kentucky,
2279,Nicholls,Nicholls,Nicholls State University,
2005,SIUE,SIUE,Southern Illinois University Edwardsville,
58661,East-West U.,East-West U.,East-West U.,
1471,ETSU,ETSU,East Tennessee State University,
1387965,Converse,Converse,Converse University,
547,Monmouth,Monmouth,Monmouth University,
867,Caldwell,Caldwell,Caldwell University,
94,Manhattan,Manhattan,Manhattan University,
1401,St. Joseph's (Brkln),St. Joseph's (Brkln),St. Joseph's University NY (Brooklyn),
953,South Carolina,South Carolina,"University of South Carolina, Columbia",
560,N.C. A&T,N.C. A&T,North Carolina A&T State University,
2632,Sacred Heart,Sacred Heart,Sacred Heart University,
296,Merchant Marine,Merchant Marine,U.S. Merchant Marine Academy,
494,Wichita St.,Wichita St.,Wichita State University,
554,UNC Asheville,UNC Asheville,University of North Carolina Asheville,
628,Texas Tech,Texas Tech,Texas Tech University,
261807,Lindenwood,Lindenwood,Lindenwood University,
2527,Little Rock,Little Rock,University of Arkansas at Little Rock,
1388164,Ark. Baptist,Ark. Baptist,Arkansas Baptist,
771,Kansas St.,Kansas St.,Kansas State University,
201,UNC Greensboro,UNC Greensboro,The University of North Carolina at Greensboro,
637,Valparaiso,Valparaiso,Valparaiso University,
1473,Eastern Ill.,Eastern Ill.,Eastern Illinois University,
922,Oklahoma St.,Oklahoma St.,Oklahoma State University,
1290,Oral Roberts,Oral Roberts,Oral Roberts University,
619,Missouri St.,Missouri St.,Missouri State University,
1427,Mo. Southern St.,Mo. Southern St.,Missouri Southern State University,
2379,Utah Valley,Utah Valley,Utah Valley University,
53653,West Coast Baptist,West Coast Baptist,West Coast Baptist,
1307,Rice,Rice,Rice University,
1388738,Biblical Stud. (TX),Biblical Stud. (TX),Biblical Stud. (TX),
2478,Iowa,Iowa,University of Iowa,
2627,Robert Morris,Robert Morris,Robert Morris University,
1782,Duke,Duke,Duke University,
2344,Texas,Texas,University of Texas at Austin,
1061,UC Santa Barbara,UC Santa Barbara,"University of California, Santa Barbara",
259,San Fran. St.,San Fran. St.,San Francisco State University,
2213,Arizona St.,Arizona St.,Arizona State University,
278,Southern Utah,Southern Utah,Southern Utah University,
1629,New Mexico St.,New Mexico St.,New Mexico State University,
1581,Adams St.,Adams St.,Adams State University,
2326,San Diego,San Diego,University of San Diego,
1287,Occidental,Occidental,Occidental College,
65,Idaho St.,Idaho St.,Idaho State University,
1387410,Park (AZ),Park (AZ),Park (AZ),
2640,San Diego St.,San Diego St.,San Diego State University,
1057,Long Beach St.,Long Beach St.,Long Beach State University,
2602,UNLV,UNLV,"University of Nevada, Las Vegas",
2013,UT Martin,UT Martin,University of Tennessee at Martin,
2091,Sacramento St.,Sacramento St.,"California State University, Sacramento",
16469,Dominican (CA),Dominican (CA),Dominican University of California,
2338,Stanford,Stanford,Stanford University,
1295,Portland St.,Portland St.,Portland State University,
1628,Nevada,Nevada,"University of Nevada, Reno",
2494,Louisiana Tech,Louisiana Tech,Louisiana Tech University,
261,Santa Clara,Santa Clara,Santa Clara University,
1120,Cal Poly Humboldt,Cal Poly Humboldt,"California State Polytechnic University, Humboldt",
926,Oregon,Oregon,University of Oregon,
755,Hawaii,Hawaii,"University of Hawaii, Manoa",
446,Middle Tenn.,Middle Tenn.,Middle Tennessee State University,
16458,Milligan,Milligan,Milligan,
2631,Rutgers,Rutgers,"Rutgers, The State University of New Jersey, New Brunswick",
1662,Rider,Rider,Rider University,
889,Presbyterian,Presbyterian,Presbyterian College,
16453,Bluefield Univ.,Bluefield Univ.,Bluefield Univ.,
2534,Binghamton,Binghamton,Binghamton University,
2628,RIT,RIT,Rochester Institute of Technology,
2487,La Salle,La Salle,La Salle University,
1089,Coppin St.,Coppin St.,Coppin State University,
2211,App State,App State,Appalachian State University,
51928,CarolinaU,CarolinaU,CarolinaU,
488,Butler,Butler,Butler University,
2331,Southern Ind.,Southern Ind.,University of Southern Indiana,
2011,Temple,Temple,Temple University,
2435,Delaware St.,Delaware St.,Delaware State University,
1275,Norfolk St.,Norfolk St.,Norfolk State University,
1389056,Regent,Regent,Regent University,
2682,Vermont,Vermont,University of Vermont,
2622,Plattsburgh St.,Plattsburgh St.,Plattsburgh State University of New York,
1820,James Madison,James Madison,James Madison University,
981,Wash. & Lee,Wash. & Lee,Washington and Lee University,
2625,Richmond,Richmond,University of Richmond,
16442,Southern Va.,Southern Va.,Southern Virginia University,
1132,Lafayette,Lafayette,Lafayette College,
35,Dickinson,Dickinson,Dickinson College,
520,Elon,Elon,Elon University,
666,Belmont Abbey,Belmont Abbey,Belmont Abbey College,
1540,Mississippi Val.,Mississippi Val.,Mississippi Valley State University,
1371936,MUW,MUW,Mississippi University for Women,
1757,Queens (NC),Queens (NC),Queens University of Charlotte,
792,Lynchburg,Lynchburg,University of Lynchburg,
53,Georgia,Georgia,University of Georgia,
1838,UMES,UMES,University of Maryland Eastern Shore,
1705,UTSA,UTSA,University of Texas at San Antonio,
241,Prairie View,Prairie View,Prairie View A&M University,
1901,Dallas,Dallas,University of Dallas,
443,Mercer,Mercer,Mercer University,
877,LaGrange,LaGrange,LaGrange College,
760,Indiana,Indiana,"Indiana University, Bloomington",
450,Alabama A&M,Alabama A&M,Alabama A&M University,
1527,LSU,LSU,Louisiana State University,
541,Tarleton St.,Tarleton St.,Tarleton State University,
796,Marquette,Marquette,Marquette University,
957,Southern U.,Southern U.,"Southern University, Baton Rouge",
2007,Texas St.,Texas St.,Texas State University,
1389052,TAMU-San Antonio,TAMU-San Antonio,TAMU-San Antonio,
1457,Creighton,Creighton,Creighton University,
2649,South Dakota,South Dakota,University of South Dakota,
1764,Fresno St.,Fresno St.,"California State University, Fresno",
1040,USC Upstate,USC Upstate,University of South Carolina Upstate,
2714,Utah Tech,Utah Tech,Utah Tech University,
53667,Bethesda (CA),Bethesda (CA),Bethesda (CA),
807,Mississippi St.,Mississippi St.,Mississippi State University,
910,North Ala.,North Ala.,University of North Alabama,
899,Montana,Montana,University of Montana,
1371959,Ottawa (AZ),Ottawa (AZ),Ottawa (AZ),
1630,New Mexico,New Mexico,University of New Mexico,
2442,East Texas A&M,East Texas A&M,East Texas A&M University,
1257,Montana St.,Montana St.,Montana State University-Bozeman,
18539,Northwest Indian,Northwest Indian,Northwest Indian,
1770,UC Davis,UC Davis,"University of California, Davis",
1641,North Dakota St.,North Dakota St.,North Dakota State University,
350,Cal Poly,Cal Poly,California Polytechnic State University,
2255,Pacific Lutheran,Pacific Lutheran,Pacific Lutheran University,
